Code,Name,ParentCode
ROOT,Group,
FLAT,Flat Cost Centres,ROOT
WIDE001,Cost Centre 001,FLAT
WIDE002,Cost Centre 002,FLAT
WIDE003,Cost Centre 003,FLAT
WIDE004,Cost Centre 004,FLAT
WIDE005,Cost Centre 005,FLAT
WIDE006,Cost Centre 006,FLAT
WIDE007,Cost Centre 007,FLAT
WIDE008,Cost Centre 008,FLAT
WIDE009,Cost Centre 009,FLAT
WIDE010,Cost Centre 010,FLAT
WIDE011,Cost Centre 011,FLAT
WIDE012,Cost Centre 012,FLAT
WIDE013,Cost Centre 013,FLAT
WIDE014,Cost Centre 014,FLAT
WIDE015,Cost Centre 015,FLAT
WIDE016,Cost Centre 016,FLAT
WIDE017,Cost Centre 017,FLAT
WIDE018,Cost Centre 018,FLAT
WIDE019,Cost Centre 019,FLAT
WIDE020,Cost Centre 020,FLAT
WIDE021,Cost Centre 021,FLAT
WIDE022,Cost Centre 022,FLAT
WIDE023,Cost Centre 023,FLAT
WIDE024,Cost Centre 024,FLAT
WIDE025,Cost Centre 025,FLAT
WIDE026,Cost Centre 026,FLAT
WIDE027,Cost Centre 027,FLAT
WIDE028,Cost Centre 028,FLAT
WIDE029,Cost Centre 029,FLAT
WIDE030,Cost Centre 030,FLAT
WIDE031,Cost Centre 031,FLAT
WIDE032,Cost Centre 032,FLAT
WIDE033,Cost Centre 033,FLAT
WIDE034,Cost Centre 034,FLAT
WIDE035,Cost Centre 035,FLAT
WIDE036,Cost Centre 036,FLAT
WIDE037,Cost Centre 037,FLAT
WIDE038,Cost Centre 038,FLAT
WIDE039,Cost Centre 039,FLAT
WIDE040,Cost Centre 040,FLAT
WIDE041,Cost Centre 041,FLAT
WIDE042,Cost Centre 042,FLAT
WIDE043,Cost Centre 043,FLAT
WIDE044,Cost Centre 044,FLAT
WIDE045,Cost Centre 045,FLAT
WIDE046,Cost Centre 046,FLAT
WIDE047,Cost Centre 047,FLAT
WIDE048,Cost Centre 048,FLAT
WIDE049,Cost Centre 049,FLAT
WIDE050,Cost Centre 050,FLAT
WIDE051,Cost Centre 051,FLAT
WIDE052,Cost Centre 052,FLAT
WIDE053,Cost Centre 053,FLAT
WIDE054,Cost Centre 054,FLAT
WIDE055,Cost Centre 055,FLAT
WIDE056,Cost Centre 056,FLAT
WIDE057,Cost Centre 057,FLAT
WIDE058,Cost Centre 058,FLAT
WIDE059,Cost Centre 059,FLAT
WIDE060,Cost Centre 060,FLAT
WIDE061,Cost Centre 061,FLAT
WIDE062,Cost Centre 062,FLAT
WIDE063,Cost Centre 063,FLAT
WIDE064,Cost Centre 064,FLAT
WIDE065,Cost Centre 065,FLAT
WIDE066,Cost Centre 066,FLAT
WIDE067,Cost Centre 067,FLAT
WIDE068,Cost Centre 068,FLAT
WIDE069,Cost Centre 069,FLAT
WIDE070,Cost Centre 070,FLAT
WIDE071,Cost Centre 071,FLAT
WIDE072,Cost Centre 072,FLAT
WIDE073,Cost Centre 073,FLAT
WIDE074,Cost Centre 074,FLAT
WIDE075,Cost Centre 075,FLAT
WIDE076,Cost Centre 076,FLAT
WIDE077,Cost Centre 077,FLAT
WIDE078,Cost Centre 078,FLAT
WIDE079,Cost Centre 079,FLAT
WIDE080,Cost Centre 080,FLAT
WIDE081,Cost Centre 081,FLAT
WIDE082,Cost Centre 082,FLAT
WIDE083,Cost Centre 083,FLAT
WIDE084,Cost Centre 084,FLAT
WIDE085,Cost Centre 085,FLAT
WIDE086,Cost Centre 086,FLAT
WIDE087,Cost Centre 087,FLAT
WIDE088,Cost Centre 088,FLAT
WIDE089,Cost Centre 089,FLAT
WIDE090,Cost Centre 090,FLAT
WIDE091,Cost Centre 091,FLAT
WIDE092,Cost Centre 092,FLAT
WIDE093,Cost Centre 093,FLAT
WIDE094,Cost Centre 094,FLAT
WIDE095,Cost Centre 095,FLAT
WIDE096,Cost Centre 096,FLAT
WIDE097,Cost Centre 097,FLAT
WIDE098,Cost Centre 098,FLAT
WIDE099,Cost Centre 099,FLAT
WIDE100,Cost Centre 100,FLAT
WIDE101,Cost Centre 101,FLAT
WIDE102,Cost Centre 102,FLAT
WIDE103,Cost Centre 103,FLAT
WIDE104,Cost Centre 104,FLAT
WIDE105,Cost Centre 105,FLAT
WIDE106,Cost Centre 106,FLAT
WIDE107,Cost Centre 107,FLAT
WIDE108,Cost Centre 108,FLAT
WIDE109,Cost Centre 109,FLAT
WIDE110,Cost Centre 110,FLAT
WIDE111,Cost Centre 111,FLAT
WIDE112,Cost Centre 112,FLAT
WIDE113,Cost Centre 113,FLAT
WIDE114,Cost Centre 114,FLAT
WIDE115,Cost Centre 115,FLAT
WIDE116,Cost Centre 116,FLAT
WIDE117,Cost Centre 117,FLAT
WIDE118,Cost Centre 118,FLAT
WIDE119,Cost Centre 119,FLAT
WIDE120,Cost Centre 120,FLAT
